"","text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url"
"17906","Good morning and #HappyWednesday @cherissemoett :)",0,FALSE,FALSE,"806470531428077568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Dec 07 12:08:52 +0000 2016",NA,NA,"en",102,FALSE,"Kingston, Jamaica.","499809937","INTEREST: Music - World Affairs - Business New$ ... In No Particular Order.",TRUE,"Wed Feb 22 14:12:07 +0000 2012",17575,829,6041,FALSE,NA,"Ricardo Davis","Eastern Time (US & Canada)","en",-18000,1617,"ricardo_1021","JM","Jamaica","country","Jamaica",NA,NA,18.1154075,-77.275953,NA,NA,NA,NA
"17951","- Finally going to sleep. Good morning/ goodnight<ed><U+00A0><U+00BC><ed><U+00BC><U+009E><ed><U+00A0><U+00BC><ed><U+00BC><U+009A>",0,FALSE,FALSE,"806470577242468356",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Dec 07 12:09:03 +0000 2016",NA,NA,"en",1,FALSE,"   Philly","344140949","<ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B0>| Bhangra is life | @humblethepoet | XO|",TRUE,"Thu Jul 28 16:14:21 +0000 2011",48642,547,7482,FALSE,NA,"Sofia<ed><U+00A0><U+00BD><ed><U+00B2><U+008B>","Atlantic Time (Canada)","en",-14400,601,"sofiashafqat","US","United States","city","Philadelphia, PA",NA,NA,40.0048655,-75.117998,NA,NA,NA,NA
"17956","I stay waking up with no good morning text or I stay going to bed with no good night text <ed><U+00A0><U+00BD><ed><U+00B8><U+00AA>",0,FALSE,FALSE,"806470581856124928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Dec 07 12:09:04 +0000 2016",NA,NA,"en",0,FALSE,"Opa-Locka, FL","3675208097","She was sweet , but then life turned her into a savage <ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>// <U+26A2>",TRUE,"Wed Sep 16 13:33:12 +0000 2015",3289,255,1588,FALSE,NA,"Ro$ie",NA,"en",NA,441,"flacaa_23","US","United States","city","Opa-Locka, FL",NA,NA,25.904155,-80.2602905,NA,NA,NA,NA
"18007","Good Morning Cartagena #usa<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> #colombia #follow4follow #beach #instagram #instagood #trip… https://t.co/PxiGnDEXmE",0,FALSE,FALSE,"806470644837666817",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Dec 07 12:09:19 +0000 2016",NA,NA,"en",160,FALSE,"Cartagena, Bolívar","3242234781","Ven a cartagena y disfruta de esta hermosa ciudad llena de mucha historia. Aprovecha y disfruta en excelentes apartamentos con las mejores comodidades y precios",TRUE,"Fri May 08 19:09:58 +0000 2015",2020,91,555,FALSE,"https://www.facebook.com/Alquiler-De-Apartamentos-Amoblados-En-Cartagena-522518727896896/","Apartamentosonline",NA,"es",NA,389,"Alquileronline","CO","Colombia","city","Cartagena, Colombia",NA,NA,10.3904485,-75.5496355,10.4,-75.5,"https://twitter.com/darkshadow2255/status/806460906007908353","https://t.co/PxiGnDEXmE"
"18032","Good Morning! (@ Phoenix Sky Harbor International Airport - @phxskyharbor in Phoenix, AZ) https://t.co/5EIVALRdH4",0,FALSE,FALSE,"806470664513343488",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Wed Dec 07 12:09:24 +0000 2016",NA,NA,"en",18,FALSE,NA,"38045393","Director of Brand Performance with DoubleTree by Hilton",TRUE,"Tue May 05 23:00:12 +0000 2009",628,403,35,FALSE,NA,"Michelle Pike","Pacific Time (US & Canada)","en",-28800,373,"DTbHMichelle","US","United States","city","Phoenix, AZ",NA,NA,33.5528625,-112.1246765,33.43568848,-111.99963198,"https://twitter.com/_victorlanza/status/806462519137206272","https://t.co/5EIVALRdH4"
"18046","@alexiwasser @nerdist @ChrisThayerSays good morning",0,FALSE,FALSE,"806470690002051076","alexiwasser","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Dec 07 12:09:30 +0000 2016","806470328335511552","57205756","en",1,FALSE,"Cleveland,Ohio","459829309",NA,TRUE,"Tue Jan 10 03:07:46 +0000 2012",21362,319,7397,FALSE,NA,"Daniel","Pacific Time (US & Canada)","en",-28800,482,"Danimal1978","US","United States","city","Youngstown, OH",NA,NA,41.105271,-80.6395405,NA,NA,NA,NA
"18063","Good Morning coffee time!!",0,FALSE,FALSE,"806470711191732224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Dec 07 12:09:35 +0000 2016",NA,NA,"en",7,FALSE,"Houston,Tx.","168187270","Talking about myself...that's a No,No... Follow Me !! ;) Kik joeluis1214 ,WhatsApp & <ed><U+00A0><U+00BD><ed><U+00B1><U+00BB>Snapchat joelui1214 my http://B.Day!! : joelui1214",TRUE,"Sun Jul 18 17:00:38 +0000 2010",2808,600,41550,FALSE,NA,"Joseluis Pintor","Eastern Time (US & Canada)","en",-18000,1686,"JoeluiPintor","US","United States","city","Spring, TX",NA,NA,30.0635145,-95.3778145,NA,NA,NA,NA
"18116","Good Morning https://t.co/gFJjrnMMP2",0,FALSE,FALSE,"806470788421394433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Dec 07 12:09:54 +0000 2016",NA,NA,"en",151,FALSE,"Rio de Janeiro, Brasil","1553949264",".O amor não se perde nunca, porque não está no outro, está em nós.",TRUE,"Fri Jun 28 20:36:49 +0000 2013",46000,2840,39345,FALSE,NA,"VERÔNICA GUIMARÃES","Pacific Time (US & Canada)","pt",-28800,2733,"veronicagfcb73","BR","Brasil","city","Rio de Janeiro, Brasil",NA,NA,-22.9114215,-43.441578,NA,NA,NA,NA
"18163","Good morning @REALLiSAMARiE 
Have a great day!  <ed><U+00A0><U+00BD><ed><U+00B9><U+008B>",0,FALSE,FALSE,"806470850010443776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Dec 07 12:10:08 +0000 2016",NA,NA,"en",154,FALSE,"The Lucha Underground Temple","4690825465","Lucha is Life...and
We <U+2665> Lucha!",TRUE,"Fri Jan 01 17:50:58 +0000 2016",75228,1394,81365,FALSE,NA,"Mil Machetes","Pacific Time (US & Canada)","en",-28800,652,"realMilMachetes","US","United States","city","Orange, CA",NA,NA,33.810159,-117.824049,NA,NA,NA,NA
"18178","Good morning! https://t.co/uRkLW39nvy",0,FALSE,FALSE,"806470869220519937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Dec 07 12:10:13 +0000 2016",NA,NA,"en",4,FALSE,"Frederick, MD","43457195",NA,TRUE,"Sat May 30 01:53:57 +0000 2009",685,112,139,FALSE,NA,"Randall L. Shank","Eastern Time (US & Canada)","en",-18000,39,"PG476","US","United States","city","Leesburg, VA",NA,NA,39.101836,-77.553048,NA,NA,NA,NA
"18192","Good Morning Loves",0,FALSE,FALSE,"806470890926067712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Dec 07 12:10:18 +0000 2016",NA,NA,"en",194,FALSE,"In The Groove","30870576","#NSFW Lover of Music and People... Candid, Sexual, Raunchy, and Intellectual. Professional Musician and Educator. LGBT and Social Service Advocate. #iCook",TRUE,"Mon Apr 13 14:09:00 +0000 2009",247509,9521,264,FALSE,NA,"Diatonic Dissonance","Quito","en",-18000,2204,"urbangaygriot","US","United States","city","Boston, MA",NA,NA,42.3136695,-71.0887125,NA,NA,NA,NA
"18202","@XHarmonyReignsX and... I like those photos, good morning or good afeternoon, I don´t know where you are... Greetings from Venezuela",0,FALSE,FALSE,"806470908567293952","XHarmonyReignsX","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Dec 07 12:10:22 +0000 2016","806465357686906880","317185148","en",9,FALSE,"Ciudad Guayana","179707110","#Metalero /Licenciado en Comunicación Social /Hincha de unos cuantos equipos de fútbol /Algún día iré al @Wacken",TRUE,"Tue Aug 17 23:12:50 +0000 2010",19489,706,7188,FALSE,NA,"Augusto Viloria","Caracas","es",-14400,1648,"augustodeimos","VE","Venezuela","country","Venezuela",NA,NA,6.4228195,-66.5789265,NA,NA,NA,NA
"18236","@Stefeenew @carribeth @WalterRosenfeld @drgnflyspirit Good morning, have a happy day, off to do some shopping today.",0,FALSE,FALSE,"806470950434836481","Stefeenew","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Dec 07 12:10:32 +0000 2016","806466553231319041","424594348","en",10,FALSE,NA,"891912176","Here,there,everywhere. When you least expect me, there shall I be, May my Gods and Goddesses always protect me.",TRUE,"Fri Oct 19 21:49:08 +0000 2012",25639,463,3447,FALSE,NA,"Just_Thomas",NA,"en",NA,268,"JustWitchalove","US","United States","admin","Pennsylvania, USA",NA,NA,41.1179365,-77.604684,NA,NA,NA,NA
"18247","All I have to say is good morning at the Starbucks drive-thru and they're like do you want your usual or are you mixing it up today?",0,FALSE,FALSE,"806470965639127040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Dec 07 12:10:36 +0000 2016",NA,NA,"en",3,FALSE,"Hogwarts","985121354",NA,TRUE,"Sun Dec 02 18:15:48 +0000 2012",10707,165,17207,FALSE,"http://alexiscbrowning.wix.com/newbeginnings","<ed><U+00A0><U+00BC><ed><U+00BC><U+00BB>Alexis<ed><U+00A0><U+00BC><ed><U+00BC><U+00BB>","Central Time (US & Canada)","en",-21600,156,"megalexatron","US","United States","city","Pensacola, FL",NA,NA,30.4547915,-87.2046595,NA,NA,NA,NA
"18259","Good Morning from #Ottawa. <U+2744> ending this morning than <ed><U+00A0><U+00BC><ed><U+00BC><U+00A5>. Less than 2cm of accumulation. Chance of <U+2744> showers on Thur… https://t.co/TpDBWxVh2u",0,FALSE,TRUE,"806470969703432192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Dec 07 12:10:37 +0000 2016",NA,NA,"en",101,FALSE,"Ottawa, Ontario, Canada","56463177","CJ tha DJ is the Owner of Energie Media Group, a 100% Aboriginal owned business that specializes in Pro DJ & Event Planning. In addition, I'm a Weather Nerd <U+26C8><ed><U+00A0><U+00BC><ed><U+00BC><U+00AA>",TRUE,"Mon Jul 13 19:12:22 +0000 2009",23006,1047,8908,FALSE,"http://www.linkedin.com/in/cjthadj","CJ tha DJ","Eastern Time (US & Canada)","en",-18000,2566,"therealcjthadj","CA","Canada","city","Ottawa, Ontario",NA,NA,45.248791,-75.8001415,NA,NA,"https://www.periscope.tv/w/axapFTI5NjQ3MDN8MU9kS3JOT0FNUlFLWOL01nG7FqqsJKDIAQoZe6qSo2Dih9vKpBR8QuuG4BJ5","https://t.co/TpDBWxVh2u"
"18278","@_LaFilipina <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> good morning then smalls you killing me",0,FALSE,FALSE,"806470996148494336","_LaFilipina","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Dec 07 12:10:43 +0000 2016","806470814480482304","353956746","en",7,FALSE,"Boro, TN ","46879714","Gods Son. RIP FHB SR. Middle Tennessee Alum. Former DBack. Boro born n raised. #MTFootball #DBoy",TRUE,"Sat Jun 13 12:46:44 +0000 2009",61721,1422,2287,FALSE,NA,"FinessSkywalker","Central Time (US & Canada)","en",-21600,1406,"Huey_Newton3","US","United States","city","Murfreesboro, TN",NA,NA,35.84742,-86.40961,NA,NA,NA,NA
"18288","@LinnySmit @grrlysquirrel75 @lilginger864 @llredraven @camprock09 @Richard60957547 Good morning. Brrr! Cold! https://t.co/4Ioj7Ch0cK",0,FALSE,FALSE,"806471007720669184","LinnySmit","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Dec 07 12:10:46 +0000 2016",NA,"59268260","en",2,FALSE,"Illinois","4201606576","Beatles fan, classic movies fan, Kansas City Chief and Chicago White Sox fan",TRUE,"Mon Nov 16 11:54:25 +0000 2015",5319,49,822,FALSE,NA,"marte welch",NA,"en",NA,113,"MarteWelch","US","United States","admin","Illinois, USA",NA,NA,39.7393005,-89.2665075,NA,NA,NA,NA
"18289","Good Morning! <U+2744><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BC><U+00AC> https://t.co/FiwzI3wu2u",0,FALSE,FALSE,"806471007812943876",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Dec 07 12:10:46 +0000 2016",NA,NA,"en",6,FALSE,"San Francisco, CA","253028511","Oso gonplei nou ste odon <U+2694><U+FE0F>",TRUE,"Wed Feb 16 12:11:26 +0000 2011",20975,497,2962,FALSE,"http://Instagram.com/gieweldavid","Giewel David","Alaska","en",-32400,617,"davidgiewel","US","United States","city","North Chicago, IL",NA,NA,42.3145765,-87.8648875,NA,NA,NA,NA
"18340","Good morning #Belize! Sun will rise in 30 minutes (local time 06:11) #Sunrise #Photo #Photography [07.12.2016]",0,FALSE,FALSE,"806471074615611392",NA,"<a href=""http://www.twitter.com/photoschedule"" rel=""nofollow"">Photo Schedule Tweeter</a>",FALSE,"Wed Dec 07 12:11:02 +0000 2016",NA,NA,"en",181,FALSE,"Finland","4567387397","We bring up sunrise and sunset around the world so you can get your camera ready or just enjoy the view. Fixed and Updated 03/2016 :). Developed by @TheOwlkeep",TRUE,"Tue Dec 22 11:53:15 +0000 2015",287843,142,0,FALSE,"http://www.owlkeep.com","PhotoSchedule","Midway Island","en",-39600,4,"PhotoSchedule","BZ","Belize","country","Belize",NA,NA,17.1922185,-88.3464695,17.5,-88.2,NA,NA
"18372","Good Morning @slam1005fm @Trini_JW @SelectorMyles Just Holding A Vibes On This Drama Wednesday. The Port Authority Streaming LOUD And CLEAR!",0,FALSE,FALSE,"806471115698802688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Dec 07 12:11:12 +0000 2016",NA,NA,"en",33,FALSE,"Port Of Spain","303136399","I Am Who I Am, Your Consent Is Not Needed.#Ever Blessed",TRUE,"Sun May 22 10:50:47 +0000 2011",9533,246,15,FALSE,NA,"Multitalented Sean","Casablanca","en",0,549,"Multi9628","TT","Trinidad and Tobago","country","Trinidad and Tobago",NA,NA,10.700476,-61.211783,NA,NA,NA,NA
"18399","Good morning Twitter World <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>@elainie1205 @hamptonbhw @MargeConnelly @CeliaPienkosz @not2old2try https://t.co/ewPvxLcMkK",0,FALSE,FALSE,"806471222657777664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Dec 07 12:11:37 +0000 2016",NA,NA,"en",19,FALSE,NA,"2479171287","I'm a lover of beautiful music and nature. Especially the beautiful voice of Josh Groban, and all the music that inspires me.",TRUE,"Sat Apr 12 15:57:24 +0000 2014",19845,1007,79552,FALSE,NA,"Karen Jones <U+265C>",NA,"en",NA,516,"jones173331","US","United States","admin","Pennsylvania, USA",NA,NA,41.1179365,-77.604684,NA,NA,NA,NA
"18435","Good morning blessed to see another day thanking the man upstairs for waking me and the fam this morning <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>",0,FALSE,FALSE,"806471260800778240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Dec 07 12:11:46 +0000 2016",NA,NA,"en",5,FALSE,"w/Binker ","564975349","12/30/15//Blood @yeaaaahitsmeee<U+2764><U+FE0F>she the BEST..",TRUE,"Fri Apr 27 22:44:53 +0000 2012",74775,2698,12973,FALSE,"http://ask.fm/PrettayyYoungiin","KittyKatt<U+2763>","Hawaii","en",-36000,2834,"GottiBitchh","US","United States","city","Jackson, MS",NA,NA,32.230987,-90.1580165,NA,NA,NA,NA
"18441","Good Morning! 
#sabanieveselavila 
#go
#greenitsgood 
#takemeasmile… https://t.co/J3XMPNyWLe",0,FALSE,FALSE,"806471269688479744",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Dec 07 12:11:48 +0000 2016",NA,NA,"en",3,FALSE,"Venezuela-California norte","166812416","Modelo-Bailarina",TRUE,"Thu Jul 15 01:57:35 +0000 2010",485,154,34,FALSE,NA,"Adianez Jimenez","Quito","es",-18000,528,"AdianezJimenez","VE","Venezuela","city","Petare, Venezuela",NA,NA,10.485083,-66.815766,10.47892814,-66.81751818,"https://www.instagram.com/p/BNt16N6ggsom0TvJXQZQ4ImpjLL-DEjIR2HCpU0/","https://t.co/J3XMPNyWLe"
"18505","@Fox35Bob @Fox35Danielle @ryanelijah @JaymeKingFox35 @KristinGiannas Good Morning, Awesome News Team.  Can you play any musical instruments?",0,FALSE,FALSE,"806471322415104000","Fox35Bob","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Dec 07 12:12:01 +0000 2016",NA,"19790084","en",6,FALSE,"Orlando, FL","15823228","I enjoy life and being an encouragement.",TRUE,"Tue Aug 12 15:01:30 +0000 2008",2706,492,677,FALSE,"http://www.facebook.com/jeddprice","Jedd R. Price","Quito","en",-18000,882,"jeddprice","US","United States","admin","Florida, USA",NA,NA,27.698682,-83.804475,NA,NA,NA,NA
"18546","Good morning! <ed><U+00A0><U+00BC><ed><U+00BC><U+00A4> https://t.co/6kxJmow3xm",0,FALSE,FALSE,"806471375879831552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Dec 07 12:12:14 +0000 2016",NA,NA,"en",55,FALSE,"Chicago","15963425","Physical Therapist. #OWNAmbassador #OprahWinfreyNetwork. Dreamer. Doer. Detroit raised",TRUE,"Sun Aug 24 01:25:55 +0000 2008",25793,1532,42663,FALSE,"http://facebook.com/damon.rhinehart","Damon Rhinehart","Quito","en",-18000,2224,"geminimoon","US","United States","city","Chicago, IL",NA,NA,41.8335845,-87.732013,NA,NA,NA,NA
"18550","Good morning! https://t.co/DHtaUVByVC",0,FALSE,FALSE,"806471375682760704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Dec 07 12:12:14 +0000 2016",NA,NA,"en",34,FALSE,"Alexandria, VA","86665533","<U+2665> Graphic Designer - Artist - Nerd - Twitch Streamer - Shark Lover <U+2665>",TRUE,"Sun Nov 01 05:18:39 +0000 2009",1668,214,3967,FALSE,"http://twitch.tv/constanzzze","Constanzzze","Eastern Time (US & Canada)","en",-18000,324,"Danie718","US","United States","city","Franconia, VA",NA,NA,38.7688675,-77.1522215,NA,NA,NA,NA
"18598","Good morning world <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> Happy Humpday...#happyhumpday#aboutlastnight<ed><U+00A0><U+00BD><ed><U+00B8><U+008A>#thatfacethough#newadventures… https://t.co/lIb40R3Grg",0,FALSE,FALSE,"806471449988972544",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Dec 07 12:12:31 +0000 2016",NA,NA,"en",0,FALSE,"Global","23323308","R&B Recording Artist, Actor and Model (Runway model) Follow me on Instagram: Iamericnelson...Official Website http://www.iamericnelson.com",TRUE,"Sun Mar 08 16:22:08 +0000 2009",1755,839,314,FALSE,"http://www.iamericnelson.com","iamericnelson","Eastern Time (US & Canada)","en",-18000,476,"ericnelsonmusiq","MX","Mexico","city","Solidaridad, Quintana Roo",NA,NA,20.5845305,-87.346982,20.7619,-86.96409,"https://twitter.com/myfavstrash/status/806470349885992960","https://t.co/lIb40R3Grg"
"18612","Good morning world.... #believer #morningdevotional… https://t.co/3VYM3fWPEY",0,FALSE,FALSE,"806471460860497920",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Dec 07 12:12:34 +0000 2016",NA,NA,"en",12,FALSE,"DMV by way of NC(RDU,QC&Gboro)","79894029","Social Butterfly, Official Mommy Manager of Erick Lanier & Manager of R&B Artist Shae Patrick. Lover of life, dreaming BIG & pursuing MY HAPPINESS!",TRUE,"Mon Oct 05 02:21:18 +0000 2009",9374,533,1036,FALSE,NA,"LaLa Howard, MHA","Eastern Time (US & Canada)","en",-18000,1162,"LaLaHow","US","United States","city","Kettering, MD",NA,NA,38.8878895,-76.785957,38.88784701,-76.79459988,"https://twitter.com/ProfessorPash/status/806477448506408960","https://t.co/3VYM3fWPEY"
"18621","Good morning by the way <ed><U+00A0><U+00BD><ed><U+00B8><U+008B>",0,FALSE,FALSE,"806471472332099584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Dec 07 12:12:37 +0000 2016",NA,NA,"en",94,FALSE,"justin follows ","152789599","Justin liked my tweet and I nearly died. purpose tour June 13/ 14. don't be afraid to be yourself - Justin bieber",TRUE,"Sun Jun 06 22:03:29 +0000 2010",197858,5104,76600,FALSE,"http://Instagram.com/lucyannpainterxo","Lucy","Pacific Time (US & Canada)","en",-28800,103,"PunkBiebah","CA","Canada","city","Red Deer, Alberta",NA,NA,52.279302,-113.807764,NA,NA,NA,NA
"18640","Good morning, I think, turned on laptop and got the blue screen of death.  Finally managed to get everything working again.",0,FALSE,FALSE,"806471498756227072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Dec 07 12:12:43 +0000 2016",NA,NA,"en",10,FALSE,NA,"891912176","Here,there,everywhere. When you least expect me, there shall I be, May my Gods and Goddesses always protect me.",TRUE,"Fri Oct 19 21:49:08 +0000 2012",25641,463,3447,FALSE,NA,"Just_Thomas",NA,"en",NA,268,"JustWitchalove","US","United States","admin","Pennsylvania, USA",NA,NA,41.1179365,-77.604684,NA,NA,NA,NA
"18690","Good Morning <ed><U+00A0><U+00BD><ed><U+00B8><U+0083>",0,FALSE,FALSE,"806471559258968068",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Dec 07 12:12:57 +0000 2016",NA,NA,"en",14,FALSE,"United States","4763120226","#NOraised #HeartinTX #koolkats #dallascowboys #teampissyopants #festivallover #concertgoer #musicisLife IJohn 4:8",TRUE,"Fri Jan 15 14:06:25 +0000 2016",16817,198,74,FALSE,NA,"bigfahnAri","Pacific Time (US & Canada)","en",-28800,302,"kingAffair","US","United States","city","Houston, TX",NA,NA,29.838495,-95.4464865,NA,NA,NA,NA
"18699","Good morning<ed><U+00A0><U+00BD><ed><U+00B8><U+0098>",0,FALSE,FALSE,"806471569342074880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Dec 07 12:13:00 +0000 2016",NA,NA,"en",3,FALSE,NA,"754265689",NA,TRUE,"Mon Aug 13 02:42:29 +0000 2012",39864,911,1026,FALSE,NA,"4/5<U+2648><U+FE0F>.",NA,"en",NA,641,"foe_lilcoool","US","United States","city","Wilkinsburg, PA",NA,NA,40.445386,-79.8748475,NA,NA,NA,NA
"18726","@ArosaAmilf4u good morning https://t.co/R2U97xlRu1",0,FALSE,FALSE,"806471606948298752","ArosaAmilf4u","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Dec 07 12:13:09 +0000 2016",NA,"2847859818","en",9,FALSE,NA,"2295005638",NA,TRUE,"Tue Jan 21 07:48:46 +0000 2014",12486,1154,31398,FALSE,NA,"andrea",NA,"it",NA,2675,"andreachinea2","IT","Italia","city","Perugia, Umbria",NA,NA,43.139334,12.3687095,NA,NA,NA,NA
"18756","Good Morning! #sunrise @ Loudoun County, Virginia https://t.co/qKFttVt5WR",0,FALSE,FALSE,"806471648790519810",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Dec 07 12:13:19 +0000 2016",NA,NA,"en",22,FALSE,"Tifton, GA","1700000312","i have found home",TRUE,"Sun Aug 25 19:38:57 +0000 2013",1887,98,40,FALSE,NA,"Parker Holloway","Eastern Time (US & Canada)","en",-18000,194,"Pwh1Parker","US","United States","admin","Virginia, USA",NA,NA,38.0033755,-79.420865,39.09,-77.64,"https://www.periscope.tv/w/axapyDF4a1FETndORHlqem18MUJkR1lkWk1ub1pLWBOcT_DxDtUZbA_FIQWsgGCDH2o2xhU2TpXR6i0OH4R1","https://t.co/qKFttVt5WR"
"18948","December sunrise <ed><U+00A0><U+00BC><ed><U+00BC><U+0087> good morning @ Merrifield, Virginia https://t.co/C0LckGn25N",0,FALSE,FALSE,"806471917867646976",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Dec 07 12:14:23 +0000 2016",NA,NA,"en",1,FALSE,"Woodbridge,VA","232605818","Challenge Accepted",TRUE,"Fri Dec 31 17:11:37 +0000 2010",1810,97,117,FALSE,"http://www.facebook.com/?ref=logo#!/roger2011","Roger Blanco","Eastern Time (US & Canada)","en",-18000,284,"2FastBullet","US","United States","city","Merrifield, VA",NA,NA,38.8775845,-77.2460005,38.8731,-77.243,"http://fb.me/60OPWVpb0","https://t.co/C0LckGn25N"
"18974","Good morning!!! Shotout to my people doing #vlogmas <ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+008B>! Putting in werk!",0,FALSE,FALSE,"806471948003868672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Dec 07 12:14:30 +0000 2016",NA,NA,"en",51,FALSE,"Charlotte, NC","3526021467","Family <U+2764>|#RWOYT|
IG: http://Instagram.com/simplybtsfam |
YouTube: Simply BTs |

Check out our channel on YouTube.<U+270C>
<U+2935><U+2935><U+2935>",TRUE,"Wed Sep 02 18:54:49 +0000 2015",1685,271,3339,FALSE,"http://bit.ly/2eCDbBh","Simply BTs",NA,"en",NA,284,"SimplyBTs","US","United States","city","Charlotte, NC",NA,NA,35.209059,-80.8467855,NA,NA,NA,NA
"18997","@fla_tweets a good morning with @rogerjpope @KYRAteaching @getintoteaching",0,FALSE,FALSE,"806471976831385601","fla_tweets","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Dec 07 12:14:37 +0000 2016","806433611960487936","2613946366","en",3,FALSE,"Sandhurst, Berkshire","2613946366","National Teaching School in Bracknell Forest and lead provider of Primary School Direct teacher training in Berkshire and surrounds.",TRUE,"Mon Jun 16 11:06:01 +0000 2014",251,159,116,FALSE,"http://www.forestlearningalliance.org.uk","Forest Learning","Pacific Time (US & Canada)","en",-28800,357,"fla_tweets","GB","United Kingdom","city","Guildford, England",NA,NA,51.2364205,-0.5701175,NA,NA,NA,NA
